price,crime_rate,air_qual,room_num,dist1,teachers,poor_prop,airport,n_hos_beds
23.9,0.04462,0.426,6.619,5.71,21.0,7.22,1.0,5.578
24.8,0.03659,0.426,6.302,5.53,21.0,6.72,0.0,6.096
22.9,0.03551,0.426,6.167,5.52,21.0,7.51,1.0,7.558
23.9,0.05059,0.449,6.389,4.97,21.5,9.62,0.0,6.678
26.6,0.05735,0.449,6.63,4.75,21.5,6.53,0.0,9.732
22.5,0.05188,0.449,6.015,4.62,21.5,12.86,1.0,5.95
22.2,0.07151,0.449,6.121,3.93,21.5,8.44,1.0,7.244
23.6,0.0566,0.489,7.007,3.5,22.2,5.5,0.0,6.972
28.7,0.05302,0.489,7.079,3.66,22.2,5.7,1.0,7.574
22.6,0.04684,0.489,6.417,3.14,22.2,8.81,1.0,7.352
22.0,0.03932,0.489,6.405,3.16,22.2,8.2,0.0,8.24
22.9,0.04203,0.464,6.442,3.96,21.8,8.16,0.0,9.158
25.0,0.02875,0.464,6.211,3.92,21.8,6.21,0.0,10.3
20.6,0.04294,0.464,6.249,3.81,21.8,10.59,0.0,5.712
28.4,0.12204,0.445,6.625,3.57,22.0,6.65,0.0,9.968
21.4,0.11504,0.445,6.163,3.58,22.0,11.34,0.0,10.228
38.7,0.12083,0.445,8.069,3.7,22.0,4.21,1.0,6.274
43.8,0.08187,0.445,7.82,3.54,22.0,3.57,1.0,10.876
33.2,0.0686,0.445,7.416,3.83,22.0,6.19,0.0,6.564
27.5,0.14866,0.52,6.727,3.1,19.1,9.42,1.0,9.65
26.5,0.11432,0.52,6.781,3.15,19.1,7.67,1.0,7.23
18.6,0.22876,0.52,6.405,3.03,19.1,10.63,0.0,6.772
19.3,0.21161,0.52,6.137,2.97,19.1,13.44,1.0,6.886
20.1,0.1396,0.52,6.167,2.63,19.1,12.33,1.0,7.102
19.5,0.13262,0.52,5.851,2.19,19.1,16.47,1.0,7.89
19.5,0.1712,0.52,5.836,2.37,19.1,18.66,1.0,10.29
20.4,0.13117,0.52,6.127,2.35,19.1,14.09,1.0,6.008
19.8,0.12802,0.52,6.474,2.72,19.1,12.27,0.0,8.596
19.4,0.26363,0.52,6.229,2.57,19.1,15.55,1.0,9.788
21.7,0.10793,0.52,6.195,3.05,19.1,13.0,1.0,6.934
22.8,0.10084,0.547,6.715,2.81,22.2,10.16,1.0,5.656
18.8,0.12329,0.547,5.913,2.55,22.2,16.21,1.0,7.899767068273092
18.7,0.22212,0.547,6.092,2.59,22.2,17.09,1.0,10.074
18.5,0.14231,0.547,6.254,2.54,22.2,10.45,0.0,6.67
18.3,0.17134,0.547,5.928,2.56,22.2,15.76,0.0,7.566
21.2,0.13158,0.547,6.176,2.93,22.2,12.04,0.0,6.524
19.2,0.15098,0.547,6.021,2.77,22.2,10.3,0.0,9.484
20.4,0.13058,0.547,5.872,2.8,22.2,15.37,1.0,8.008
19.3,0.14476,0.547,5.731,2.96,22.2,13.61,1.0,10.186
22.0,0.06899,0.581,5.87,2.4,20.9,14.37,1.0,7.84
20.3,0.07165,0.581,6.004,2.44,20.9,14.27,1.0,9.706
20.5,0.09299,0.581,5.961,2.34,20.9,17.93,1.0,8.91
17.3,0.15038,0.581,5.856,2.22,20.9,25.41,1.0,9.146
18.8,0.09849,0.581,5.879,2.21,20.9,17.58,0.0,6.276
21.4,0.16902,0.581,5.986,2.13,20.9,14.81,1.0,8.128
15.7,0.38735,0.581,5.613,1.93,20.9,27.26,0.0,7.714
16.2,0.25915,0.624,5.693,2.09,18.8,17.19,1.0,5.924
18.0,0.32543,0.624,6.431,1.96,18.8,15.39,0.0,8.16
14.3,0.88125,0.624,5.637,2.3,18.8,18.34,1.0,7.886
19.2,0.34006,0.624,6.458,2.37,18.8,12.6,1.0,8.984
19.6,1.19294,0.624,6.326,2.54,18.8,12.26,1.0,7.592
23.0,0.59005,0.624,6.372,2.41,18.8,11.12,1.0,8.96
18.4,0.32982,0.624,5.822,2.73,18.8,15.03,1.0,10.268
15.6,0.97617,0.624,5.757,2.35,18.8,17.31,0.0,9.012
18.1,0.55778,0.624,6.335,2.22,18.8,16.96,1.0,7.862
17.4,0.32264,0.624,5.942,2.26,18.8,16.9,0.0,10.148
17.1,0.35233,0.624,6.454,2.15,18.8,14.59,1.0,6.942
13.3,0.2498,0.624,5.857,1.89,18.8,21.32,0.0,8.066
17.8,0.54452,0.624,6.151,1.91,18.8,18.46,1.0,8.656
14.0,0.2909,0.624,6.174,1.86,18.8,24.16,0.0,5.68
14.4,1.62864,0.624,5.019,1.63,18.8,34.41,1.0,9.988
13.4,3.32105,0.871,5.403,1.34,25.3,26.82,1.0,5.268
15.6,4.0974,0.871,5.468,1.64,25.3,26.42,1.0,7.312
11.8,2.77974,0.871,4.903,1.48,25.3,29.29,1.0,6.636
13.8,2.37934,0.871,6.13,1.69,25.3,27.8,1.0,7.776
15.6,2.15505,0.871,5.628,1.82,25.3,16.65,1.0,5.612
14.6,2.36862,0.871,4.926,1.77,25.3,29.53,0.0,6.892
17.8,2.33099,0.871,5.186,1.58,25.3,28.32,0.0,9.856
15.4,2.73397,0.871,5.597,1.76,25.3,21.45,0.0,10.108
21.5,1.6566,0.871,6.122,1.65,25.3,14.1,0.0,5.53
19.6,1.49632,0.871,5.404,1.86,25.3,13.28,0.0,6.492
15.3,1.12658,0.871,5.012,1.82,25.3,12.12,1.0,5.406
19.4,2.14918,0.871,5.709,1.78,25.3,15.79,0.0,6.088
17.0,1.41385,0.871,6.129,1.77,25.3,15.12,0.0,7.44
15.6,3.53501,0.871,6.152,1.88,25.3,15.02,0.0,9.912
13.1,2.44668,0.871,5.272,1.99,25.3,16.14,0.0,6.362
41.3,1.22358,0.605,6.943,1.99,25.3,4.59,1.0,8.226
24.3,1.34284,0.605,6.066,1.96,25.3,6.43,0.0,8.886
23.3,1.42502,0.871,6.51,1.84,25.3,7.39,1.0,7.166
27.0,1.27346,0.605,6.25,1.86,25.3,5.5,1.0,8.44
50.0,1.46336,0.605,7.489,2.17,25.3,1.73,1.0,10.5
50.0,1.83377,0.605,7.802,2.26,25.3,1.92,1.0,8.4
50.0,1.51902,0.605,8.375,2.26,25.3,3.32,1.0,8.0
22.7,2.24236,0.605,5.854,2.71,25.3,11.64,1.0,8.354
25.0,2.924,0.605,6.101,2.37,25.3,9.81,1.0,10.0
50.0,2.01019,0.605,7.929,2.11,25.3,3.7,1.0,8.3
23.8,1.80028,0.605,5.877,2.69,25.3,12.14,1.0,10.076
23.8,2.3004,0.605,6.319,2.29,25.3,11.1,0.0,6.676
22.3,2.44953,0.605,6.402,2.3,25.3,11.32,0.0,5.546
17.4,1.20742,0.605,5.875,2.7,25.3,14.43,0.0,7.948
19.1,2.3139,0.605,5.88,2.62,25.3,12.03,0.0,9.782
23.1,0.13914,0.51,5.572,2.7,23.4,14.69,0.0,9.362
23.6,0.09178,0.51,6.416,2.86,23.4,9.04,1.0,9.872
22.6,0.08447,0.51,5.859,2.84,23.4,9.64,1.0,9.752
29.4,0.06664,0.51,6.546,3.22,23.4,5.33,1.0,6.188
23.2,0.07022,0.51,6.02,3.75,23.4,10.11,1.0,8.564
24.6,0.05425,0.51,6.315,3.35,23.4,6.29,1.0,7.092
29.9,0.06642,0.51,6.86,3.19,23.4,6.92,0.0,5.898
37.2,0.0578,0.488,6.98,3.11,22.2,5.04,0.0,9.744
39.8,0.06588,0.488,7.765,2.98,22.2,7.56,1.0,8.496
36.2,0.06888,0.488,6.144,2.69,22.2,9.45,1.0,6.624
37.9,0.09103,0.488,7.155,2.72,22.2,4.82,1.0,9.258
32.5,0.10008,0.488,6.563,3.04,22.2,5.68,1.0,7.35
26.4,0.08308,0.488,5.604,3.06,22.2,13.98,1.0,9.928
29.6,0.06047,0.488,6.153,3.43,22.2,13.15,1.0,8.192
50.0,0.05602,0.488,7.831,3.45,22.2,4.45,1.0,6.0
32.0,0.07875,0.437,6.782,3.81,24.8,6.68,1.0,7.84
29.8,0.12579,0.437,6.556,4.62,24.8,4.56,1.0,7.596
34.9,0.0837,0.437,7.185,4.83,24.8,5.39,0.0,9.298
33.0,0.09068,0.437,6.951,6.54,24.8,5.1,0.0,6.16
30.5,0.06911,0.437,6.739,6.71,24.8,4.69,0.0,8.81
36.4,0.08664,0.437,7.178,6.76,24.8,2.87,1.0,10.528
31.1,0.02187,0.401,6.8,6.46,24.4,5.03,0.0,6.822
29.1,0.01439,0.401,6.604,6.51,24.4,4.38,0.0,9.282
50.0,0.01381,0.422,7.875,5.81,25.6,2.97,1.0,8.2
33.3,0.04011,0.404,7.287,7.58,27.4,4.08,1.0,7.266
30.3,0.04666,0.404,7.107,7.64,27.4,8.61,1.0,6.906
34.6,0.03768,0.404,7.274,7.53,27.4,6.62,0.0,10.192
34.9,0.0315,0.403,6.975,7.97,23.0,4.56,1.0,7.998
32.9,0.01778,0.403,7.135,7.79,23.0,4.45,0.0,5.958
24.1,0.03445,0.415,6.162,6.4,25.3,7.43,1.0,7.782
42.3,0.02177,0.415,7.61,6.35,25.3,3.11,0.0,10.546
48.5,0.0351,0.4161,7.853,5.37,25.3,3.81,0.0,8.77
50.0,0.02009,0.4161,8.034,5.41,25.3,2.88,1.0,8.9
22.6,0.13642,0.489,5.891,4.24,21.4,10.87,1.0,7.952
24.4,0.22969,0.489,6.326,4.63,21.4,10.97,1.0,6.688
22.5,0.25199,0.489,5.783,4.64,21.4,18.06,1.0,7.95
24.4,0.13587,0.489,6.064,4.3,21.4,14.66,1.0,6.888
20.0,0.43571,0.489,5.344,3.95,21.4,23.09,0.0,7.9
21.7,0.17446,0.489,5.96,3.91,21.4,17.27,1.0,8.034
19.3,0.37578,0.489,5.404,3.99,21.4,23.98,0.0,5.986
22.4,0.21719,0.489,5.807,3.66,21.4,16.03,1.0,6.848
28.1,0.14052,0.489,6.375,4.11,21.4,9.38,1.0,7.562
23.7,0.28955,0.489,5.412,3.68,21.4,29.55,1.0,5.674
25.0,0.19802,0.489,6.182,4.15,21.4,9.47,1.0,7.899767068273092
23.3,0.0456,0.55,5.888,3.44,23.6,13.51,1.0,5.466
28.7,0.07013,0.55,6.642,3.52,23.6,9.69,0.0,9.274
21.5,0.11069,0.55,5.951,2.92,23.6,17.92,1.0,8.73
23.0,0.11425,0.55,6.373,3.65,23.6,10.5,1.0,6.16
26.7,0.35809,0.507,6.951,3.03,22.6,9.71,0.0,8.734
21.7,0.40771,0.507,6.164,3.31,22.6,21.46,1.0,5.734
27.5,0.62356,0.507,6.879,3.41,22.6,9.93,1.0,9.45
30.1,0.6147,0.507,6.618,3.5,22.6,7.6,1.0,9.702
44.8,0.31533,0.504,8.266,2.96,22.6,4.14,1.0,6.796
50.0,0.52693,0.504,8.725,3.13,22.6,4.63,1.0,7.5
37.6,0.38214,0.504,8.04,3.49,22.6,3.13,1.0,5.952
31.6,0.41238,0.504,7.163,3.31,22.6,6.36,0.0,6.332
46.7,0.29819,0.504,7.686,3.55,22.6,3.92,1.0,10.134
31.5,0.44178,0.504,6.552,3.56,22.6,3.76,1.0,7.33
24.3,0.537,0.504,5.981,3.97,22.6,11.65,0.0,8.286
31.7,0.46296,0.504,7.412,3.88,22.6,5.25,1.0,6.734
41.7,0.57529,0.507,8.337,4.06,22.6,2.47,1.0,6.634
48.3,0.33147,0.507,8.247,3.82,22.6,3.95,1.0,9.066
29.0,0.44791,0.507,6.726,3.67,22.6,8.05,1.0,9.88
24.0,0.33045,0.507,6.086,3.91,22.6,10.88,1.0,9.18
25.1,0.52058,0.507,6.631,4.46,22.6,9.54,1.0,9.402
31.5,0.51183,0.507,7.358,4.24,22.6,4.73,1.0,10.53
23.7,0.08244,0.428,6.481,6.26,23.4,6.36,1.0,7.374
23.3,0.09252,0.428,6.606,6.25,23.4,7.37,0.0,5.566
27.0,0.11329,0.428,6.897,6.49,23.4,11.38,1.0,10.24
20.1,0.10612,0.428,6.095,6.43,23.4,12.4,0.0,8.302
22.2,0.1029,0.428,6.358,7.11,23.4,11.22,1.0,6.044
23.7,0.12757,0.428,6.393,7.06,23.4,5.19,1.0,7.374
17.6,0.20608,0.431,5.593,8.15,20.9,12.5,0.0,6.252
18.5,0.19133,0.431,5.605,8.28,20.9,18.46,1.0,9.27
24.3,0.33983,0.431,6.108,8.37,20.9,9.16,1.0,7.086
20.5,0.19657,0.431,6.226,8.17,20.9,10.15,0.0,9.81
24.5,0.16439,0.431,6.433,8.05,20.9,9.52,1.0,8.39
26.2,0.19073,0.431,6.718,8.08,20.9,6.56,1.0,9.324
24.4,0.1403,0.431,6.487,7.5,20.9,5.9,1.0,6.188
24.8,0.21409,0.431,6.438,7.43,20.9,3.59,0.0,10.296
29.6,0.08221,0.431,6.957,9.18,20.9,3.53,0.0,8.992
42.8,0.36894,0.431,8.259,9.03,20.9,3.54,0.0,10.856
21.9,0.04819,0.392,6.108,9.39,23.6,6.57,0.0,6.538
20.9,0.03548,0.392,5.876,9.23,23.6,9.25,0.0,7.818
44.0,0.01538,0.394,7.454,6.66,24.1,3.11,0.0,6.68
50.0,0.61154,0.647,8.704,2.09,27.0,5.12,1.0,8.6
36.0,0.66351,0.647,7.333,2.2,27.0,7.79,1.0,8.02
30.1,0.65665,0.647,6.842,2.2,27.0,6.9,1.0,7.302
33.8,0.54011,0.647,7.203,2.12,27.0,9.59,1.0,7.899767068273092
43.1,0.53412,0.647,7.52,2.4,27.0,7.26,1.0,6.662
48.8,0.52014,0.647,8.398,2.55,27.0,5.91,1.0,10.076
31.0,0.82526,0.647,7.327,2.41,27.0,11.25,1.0,5.72
36.5,0.55007,0.647,7.206,1.96,27.0,8.1,1.0,8.53
22.8,0.76162,0.647,5.56,2.1,27.0,10.45,0.0,7.456
30.7,0.7857,0.647,7.014,2.22,27.0,14.79,0.0,6.114
50.0,0.57834,0.575,8.297,2.6,27.0,7.44,1.0,8.0
43.5,0.5405,0.575,7.47,3.17,27.0,3.16,0.0,9.07
20.7,0.09065,0.464,5.92,4.22,21.4,13.65,0.0,10.414
21.1,0.29916,0.464,5.856,4.66,21.4,13.0,1.0,6.222
25.2,0.16211,0.464,6.24,4.56,21.4,6.59,0.0,6.604
24.4,0.1146,0.464,6.538,4.01,21.4,7.73,1.0,8.488
35.2,0.22188,0.464,7.691,4.53,21.4,6.58,1.0,6.004
32.4,0.05644,0.447,6.758,4.2,22.4,3.53,0.0,10.648
32.0,0.09604,0.447,6.854,4.28,22.4,2.98,1.0,8.84
33.2,0.10469,0.447,7.267,4.94,22.4,6.05,0.0,8.564
33.1,0.06127,0.447,6.826,5.14,22.4,4.16,0.0,6.262
29.1,0.07978,0.447,6.482,4.22,22.4,7.19,1.0,6.282
35.1,0.21038,0.4429,6.812,4.35,25.1,4.85,0.0,9.602
45.4,0.03578,0.4429,7.82,4.98,25.1,3.76,0.0,7.108
35.4,0.03705,0.4429,6.968,5.55,25.1,4.59,1.0,8.508
46.0,0.06129,0.4429,7.645,5.46,25.1,3.01,1.0,8.72
50.0,0.01501,0.401,7.923,6.15,26.4,3.16,1.0,8.7
32.2,0.00906,0.4,7.088,7.44,24.7,7.85,1.0,7.844
22.0,0.01096,0.389,6.453,7.33,24.7,8.23,1.0,10.44
20.1,0.01965,0.385,6.23,9.21,21.8,12.93,1.0,8.302
23.2,0.03871,0.405,6.209,7.45,23.4,7.14,1.0,9.964
22.3,0.0459,0.405,6.315,7.63,23.4,7.6,0.0,5.846
24.8,0.04297,0.405,6.565,7.33,23.4,9.51,0.0,9.096
28.5,0.03502,0.411,6.861,5.22,20.8,3.33,1.0,8.07
37.3,0.07886,0.411,7.148,5.12,20.8,3.56,1.0,8.146
27.9,0.03615,0.411,6.63,5.25,20.8,4.7,0.0,8.458
23.9,0.08265,0.437,6.127,5.76,24.0,8.58,1.0,7.278
21.7,0.08199,0.437,6.009,5.54,24.0,10.4,0.0,8.834
28.6,0.12932,0.437,6.678,6.2,24.0,6.27,1.0,6.972
27.1,0.05372,0.437,6.549,6.22,24.0,7.39,0.0,10.442
20.3,0.14103,0.437,5.79,6.56,24.0,15.84,1.0,7.606
22.5,0.06466,0.4,6.345,8.0,25.2,4.97,0.0,9.45
29.0,0.05561,0.4,7.041,7.84,25.2,4.74,1.0,7.98
24.8,0.04417,0.4,6.871,8.09,25.2,6.07,1.0,9.096
22.0,0.03537,0.433,6.59,5.63,23.9,9.5,1.0,9.94
26.4,0.09266,0.433,6.495,5.8,23.9,8.67,1.0,7.928
33.1,0.1,0.433,6.982,5.81,23.9,4.86,0.0,8.262
36.1,0.05515,0.472,7.236,4.1,21.6,6.93,0.0,6.922
28.4,0.05479,0.472,6.616,3.63,21.6,8.93,0.0,6.568
33.4,0.07503,0.472,7.42,3.31,21.6,6.47,1.0,10.668
28.2,0.04932,0.472,6.849,3.28,21.6,7.53,1.0,10.464
22.8,0.49298,0.544,6.635,3.57,21.6,4.54,0.0,7.156
20.3,0.3494,0.544,5.972,3.4,21.6,9.97,1.0,10.106
16.1,2.63548,0.544,4.973,2.63,21.6,12.64,0.0,7.322
22.1,0.79041,0.544,6.122,2.89,21.6,5.98,1.0,8.242
19.4,0.26169,0.544,6.023,3.0,21.6,11.72,1.0,6.288
21.6,0.26938,0.544,6.266,3.38,21.6,7.9,1.0,8.832
23.8,0.3692,0.544,6.567,3.92,21.6,9.28,1.0,9.576
16.2,0.25356,0.544,5.705,4.02,21.6,11.5,0.0,6.724
17.8,0.31827,0.544,5.914,4.2,21.6,18.33,0.0,7.256
19.8,0.24522,0.544,5.782,4.13,21.6,15.94,0.0,9.796
23.1,0.40202,0.544,6.382,3.8,21.6,10.36,0.0,5.562
21.0,0.47547,0.544,6.113,4.07,21.6,12.73,0.0,10.32
23.8,0.1676,0.493,6.426,4.74,20.4,7.2,1.0,6.776
23.1,0.18159,0.493,6.376,4.85,20.4,6.87,1.0,7.762
20.4,0.35114,0.493,6.041,4.93,20.4,7.7,0.0,8.908
18.5,0.28392,0.493,5.708,4.91,20.4,11.74,1.0,6.57
25.0,0.34109,0.493,6.415,5.0,20.4,6.12,0.0,8.6
24.6,0.19186,0.493,6.431,5.51,20.4,5.08,0.0,7.992
23.0,0.30347,0.493,6.312,5.47,20.4,6.15,1.0,7.06
22.2,0.24103,0.493,6.083,5.59,20.4,12.79,0.0,9.044
19.3,0.06617,0.46,5.868,5.42,23.1,9.97,1.0,9.986
22.6,0.06724,0.46,6.333,5.36,23.1,7.34,0.0,5.552
19.8,0.04544,0.46,6.144,6.02,23.1,9.09,0.0,9.396
17.1,0.05023,0.4379,5.706,6.67,23.1,12.43,0.0,6.742
19.4,0.03466,0.4379,6.031,6.95,23.1,7.83,1.0,7.488
22.2,0.05083,0.515,6.316,6.76,19.8,5.68,0.0,9.144
20.7,0.03738,0.515,6.31,6.52,19.8,6.75,1.0,7.514
21.1,0.03961,0.515,6.037,6.26,19.8,8.01,1.0,8.922
19.5,0.03427,0.515,5.869,5.5,19.8,9.8,0.0,10.09
18.5,0.03041,0.515,5.895,5.86,19.8,10.56,1.0,8.27
20.6,0.03306,0.515,6.059,4.91,19.8,8.51,1.0,8.112
19.0,0.05497,0.515,5.985,4.89,19.8,9.74,0.0,6.38
18.7,0.06151,0.515,5.968,5.06,19.8,9.29,1.0,6.474
32.7,0.01301,0.442,7.241,7.32,24.5,5.49,1.0,6.254
16.5,0.02498,0.518,6.54,6.46,24.1,8.65,1.0,7.33
23.9,0.02543,0.484,6.696,6.03,22.4,7.18,1.0,8.978
31.2,0.03049,0.484,6.874,6.71,22.4,4.61,0.0,10.624
17.5,0.03113,0.442,6.014,8.24,21.2,10.53,1.0,7.15
17.2,0.06162,0.442,5.898,8.07,21.2,12.67,0.0,6.044
23.1,0.0187,0.429,6.516,8.87,22.1,6.36,1.0,8.162
24.5,0.01501,0.435,6.635,8.62,23.0,5.99,1.0,6.29
26.6,0.02899,0.429,6.939,8.88,20.3,5.89,1.0,5.632
22.9,0.06211,0.429,6.49,9.0,20.3,5.98,0.0,7.258
24.1,0.0795,0.411,6.579,10.98,21.7,5.49,1.0,5.582
18.6,0.07244,0.411,5.884,10.83,21.7,7.79,1.0,7.372
30.1,0.01709,0.41,6.728,12.32,23.0,4.5,1.0,6.102
18.2,0.04301,0.413,5.663,10.76,18.0,8.05,0.0,8.764
20.6,0.10659,0.413,5.936,10.82,18.0,5.57,0.0,9.312
17.8,8.98296,0.77,6.212,2.16,19.8,17.6,0.0,5.956
21.7,3.8497,0.77,6.395,2.83,19.8,13.27,0.0,7.034
22.7,5.20177,0.77,6.127,2.96,19.8,11.48,0.0,6.354
22.6,4.26131,0.77,6.112,2.78,19.8,12.67,0.0,7.899767068273092
25.0,4.54192,0.77,6.398,2.73,19.8,7.79,0.0,8.8
19.9,3.83684,0.77,6.251,2.58,19.8,14.19,1.0,8.898
20.8,3.67822,0.77,5.362,2.27,19.8,10.19,0.0,8.016
16.8,4.22239,0.77,5.803,1.98,19.8,14.64,1.0,9.736
21.9,3.47428,0.718,8.78,1.97,19.8,5.29,0.0,8.038
27.5,4.55587,0.718,3.561,1.63,19.8,7.12,1.0,8.05
21.9,3.69695,0.718,4.963,2.08,19.8,14.0,0.0,10.238
23.1,13.5222,0.631,3.863,1.53,19.8,13.33,0.0,9.962
50.0,4.89822,0.631,4.97,1.47,19.8,3.26,0.0,9.7
50.0,5.66998,0.631,6.683,1.55,19.8,3.73,1.0,6.7
50.0,6.53876,0.631,7.016,1.4,19.8,2.96,1.0,10.1
50.0,9.2323,0.631,6.216,1.38,19.8,9.53,1.0,9.8
50.0,8.26725,0.668,5.875,1.13,19.8,8.88,1.0,10.8
13.8,11.1081,0.668,4.906,1.48,19.8,34.77,1.0,6.876
13.8,18.4982,0.668,4.138,1.46,19.8,37.97,0.0,7.076
